,City,Lat,Lon,Cloud,Humidity,MaxTemp,Windspeed
147,liku,-0.7275,119.8922,100.0,89.0,76.87,1.1
148,hermanus,-34.4187,19.2345,55.0,86.0,64.0,3.0
149,bilma,18.6853,12.9164,0.0,8.0,103.62,1.05
150,saint-augustin,51.226,-58.6502,0.0,79.0,4.05,10.8
151,airai,-8.9266,125.4092,17.0,89.0,61.83,1.97
152,loukhi,66.0764,33.0381,99.0,94.0,31.37,8.59
153,vaini,-21.2,-175.2,20.0,94.0,77.0,3.44
154,marivan,35.5219,46.176,100.0,38.0,52.86,8.55
155,kaitangata,-46.2817,169.8464,24.0,95.0,49.15,6.82
156,sao domingos,-13.3983,-46.3183,11.0,70.0,78.44,4.99
157,taungdwingyi,20.0167,95.55,100.0,17.0,85.93,5.32
158,sabang,5.8933,95.3214,100.0,68.0,84.56,7.67
159,ancud,-41.8697,-73.8203,20.0,100.0,50.0,1.14
160,avarua,-21.2078,-159.775,84.0,94.0,75.2,1.14
161,batticaloa,7.7102,81.6924,99.0,81.0,80.98,10.58
162,dikson,73.5069,80.5464,91.0,92.0,-22.5,18.97
163,kashi,39.4547,75.9797,40.0,31.0,48.2,6.71
164,mehamn,71.0357,27.8492,99.0,84.0,32.88,20.42
165,terenos,-20.4422,-54.8603,40.0,69.0,78.8,13.8
166,beloha,-25.1667,45.05,59.0,34.0,92.98,11.63
167,borlange,,,,,,
168,birao,10.2849,22.7882,0.0,8.0,107.01,14.12
169,flinders,-34.5833,150.8552,100.0,91.0,72.0,5.01
170,butaritari,3.0707,172.7902,1.0,79.0,81.97,16.71
171,havoysund,70.9963,24.6622,75.0,74.0,32.0,13.8
172,timmins,48.4669,-81.3331,20.0,55.0,30.2,5.75
173,najran,17.4924,44.1277,0.0,10.0,93.2,9.22
174,vilyuysk,63.7553,121.6247,100.0,87.0,20.82,13.33
175,tuktoyaktuk,69.4541,-133.0374,97.0,99.0,-15.27,9.44
176,san cristobal,7.7669,-72.225,75.0,100.0,73.4,6.91
177,sainte-maxime,43.3,6.6333,0.0,40.0,55.99,8.05
178,bolonchen,,,,,,
179,sicuani,-14.2694,-71.2261,98.0,96.0,39.61,1.92
180,luderitz,-26.6481,15.1594,0.0,56.0,75.78,33.58
181,mezhdurechensk,53.6942,88.0603,100.0,96.0,32.5,3.65
182,skalistyy,,,,,,
183,zaysan,47.4667,84.8667,12.0,68.0,24.93,4.63
184,nuuk,64.1835,-51.7216,75.0,80.0,32.0,21.85
185,pilot butte,50.4668,-104.4178,100.0,60.0,41.0,8.05
186,valdez,1.2492,-78.9831,100.0,85.0,76.84,3.38
187,kawana waters,,,,,,
188,grand river south east,,,,,,
189,port hardy,50.6996,-127.4199,90.0,93.0,42.8,6.91
190,xuddur,4.1213,43.8894,32.0,36.0,90.25,12.82
191,fortuna,40.5982,-124.1573,90.0,100.0,43.0,6.91
192,puerto ayora,-0.7393,-90.3518,42.0,95.0,77.0,1.99
193,atuona,-9.8,-139.0333,26.0,75.0,79.57,10.58
194,ust-nera,64.5667,143.2,87.0,99.0,-3.46,4.52
195,nikolskoye,59.7035,30.7861,75.0,43.0,26.6,11.18
196,namatanai,-3.6667,152.4333,83.0,77.0,80.8,6.33
197,barentsburg,,,,,,
198,saldanha,-33.0117,17.9442,0.0,49.0,73.4,24.16
199,san patricio,28.017,-97.5169,20.0,87.0,51.8,6.91
200,port moresby,-9.4431,147.1797,75.0,83.0,80.6,3.44
201,pucara,-15.9803,-71.4606,75.0,87.0,51.8,1.14
202,tiarei,-17.5333,-149.3333,20.0,78.0,78.8,5.75
203,tumannyy,,,,,,
204,sandwick,60.0,-1.25,90.0,87.0,46.4,24.16
205,bouake,7.6895,-5.0218,20.0,58.0,86.0,6.91
206,mayo,38.8876,-76.5119,1.0,55.0,39.0,5.75
207,adamas,36.7333,24.4333,0.0,68.0,64.4,23.02
208,general roca,-39.0333,-67.5833,0.0,62.0,57.2,4.61
209,palabuhanratu,,,,,,
210,anaconda,46.1285,-112.9423,40.0,86.0,30.2,3.31
211,coihaique,-45.5752,-72.0662,40.0,76.0,51.8,14.97
212,hamilton,39.1834,-84.5333,1.0,69.0,33.01,6.91
213,sol-iletsk,51.1631,54.9918,100.0,93.0,29.17,14.85
214,ulaangom,49.9811,92.0667,75.0,93.0,6.84,3.85
215,roald,62.5833,6.1333,75.0,93.0,43.0,23.02
216,banda aceh,5.5577,95.3222,100.0,74.0,81.75,7.38
217,natal,-5.795,-35.2094,40.0,65.0,84.2,16.11
218,sambava,-14.2667,50.1667,100.0,83.0,81.27,10.31
219,vestmannaeyjar,63.4427,-20.2734,40.0,75.0,41.0,14.97
220,shache,38.4167,77.2406,61.0,26.0,51.51,6.64
221,leh,34.1667,77.5833,0.0,45.0,30.94,2.37
222,mattru,7.6244,-11.8332,63.0,32.0,92.98,3.24
223,binabalian,16.4202,119.9279,18.0,79.0,82.58,8.95
224,pevek,69.7008,170.3133,14.0,100.0,-23.64,2.1
225,samusu,,,,,,
226,nguiu,,,,,,
227,samarai,-10.6167,150.6667,14.0,77.0,83.21,6.02
228,avera,33.194,-82.5271,1.0,52.0,42.8,10.36
229,shahr-e babak,30.1165,55.1186,0.0,9.0,67.77,17.2
230,tura,25.5198,90.2201,0.0,29.0,76.28,1.54
231,mercedes,-34.6515,-59.4307,100.0,99.0,64.0,4.0
232,horni plana,48.7674,14.0326,98.0,65.0,32.0,11.99
233,klaksvik,62.2266,-6.589,75.0,76.0,44.6,19.57
234,madimba,-10.4,40.3333,75.0,79.0,84.2,6.91
235,coquimbo,-29.9533,-71.3436,0.0,72.0,57.2,8.05
236,lagoa,39.05,-27.9833,100.0,81.0,58.32,15.26
237,hauterive,46.0901,3.4459,75.0,45.0,46.4,19.57
238,lanzhou,36.0564,103.7922,100.0,86.0,39.99,14.88
239,kudahuvadhoo,2.6708,72.8944,100.0,70.0,82.71,6.71
240,lavrentiya,65.5833,-171.0,95.0,88.0,-7.74,12.15
241,kerekegyhaza,46.9372,19.4781,0.0,36.0,46.99,4.61
242,searcy,35.2506,-91.7363,90.0,70.0,39.99,6.91
243,gobabis,-22.45,18.9667,95.0,42.0,78.78,13.2
244,beringovskiy,63.05,179.3167,100.0,92.0,-2.11,17.27
245,punta alta,-38.8759,-62.0736,100.0,51.0,68.36,17.47
246,huarmey,-10.0681,-78.1522,100.0,68.0,73.18,6.33
247,soyo,-6.1349,12.3689,75.0,74.0,86.0,5.75
248,roebourne,-20.7833,117.1333,0.0,53.0,79.07,22.32
249,bengkulu,-3.8004,102.2655,100.0,73.0,80.24,0.67
250,broome,42.2506,-75.833,1.0,54.0,23.0,5.75
251,zyryanka,65.75,150.85,0.0,82.0,-8.27,7.38
252,barawe,,,,,,
253,nemuro,43.3236,145.575,100.0,72.0,29.46,9.22
254,flin flon,54.7682,-101.865,1.0,81.0,37.4,5.75
255,kampot,10.6167,104.1833,0.0,78.0,80.6,4.61
256,phan rang,,,,,,
257,ambon,-3.6954,128.1814,20.0,89.0,78.8,5.75
258,new norfolk,-42.7826,147.0587,1.0,66.0,59.0,1.5
259,zhengjiatun,43.5064,123.5064,99.0,73.0,37.0,4.56
260,santa marta,11.2408,-74.199,95.0,65.0,81.0,7.0
261,aklavik,68.2191,-135.0107,16.0,76.0,-16.6,4.61
262,saqqez,36.2499,46.2735,0.0,29.0,53.26,14.52
263,mitsamiouli,-11.3847,43.2844,56.0,66.0,85.28,2.21
264,antalaha,-14.9003,50.2788,89.0,85.0,80.6,8.63
265,sentyabrskiy,,,,,,
266,saint-georges,12.0564,-61.7485,20.0,74.0,80.6,11.5
267,chokurdakh,70.6333,147.9167,100.0,97.0,-9.94,3.04
268,khani,41.9563,42.9566,90.0,76.0,48.2,6.91
269,thompson,55.7435,-97.8558,90.0,81.0,37.4,4.61
270,ruatoria,,,,,,
271,chuy,-33.6971,-53.4616,27.0,73.0,76.23,11.99
272,umzimvubu,,,,,,
273,guerande,47.3291,-2.4283,40.0,54.0,55.0,10.36
274,clyde river,70.4692,-68.5914,1.0,69.0,-18.4,8.05
275,centerville,39.6284,-84.1594,1.0,64.0,30.99,8.05
276,bubaque,11.2833,-15.8333,0.0,52.0,76.24,7.78
277,iqaluit,63.7506,-68.5145,75.0,70.0,-11.0,16.11
278,san rafael del sur,11.8485,-86.4384,40.0,88.0,71.6,6.91
279,mingyue,43.1069,128.9217,100.0,99.0,34.11,1.97
280,doctor pedro p. pena,,,,,,
281,gimbi,9.1667,35.8333,86.0,28.0,81.54,5.88
282,rivadavia,-33.1905,-68.4608,75.0,88.0,57.2,4.61
283,bonfim,3.0833,-59.95,6.0,52.0,82.31,11.52
284,tsienyane,,,,,,
285,egvekinot,66.3167,-179.1667,100.0,79.0,-11.24,11.16
286,vardo,70.3705,31.1107,75.0,69.0,33.8,23.02
287,elizabeth city,36.2946,-76.2511,90.0,65.0,44.6,18.41
288,great falls,47.5002,-111.3008,1.0,64.0,35.6,10.36
289,fuji,35.1667,138.6833,100.0,65.0,61.0,3.56
290,luwuk,-0.9516,122.7875,29.0,84.0,79.68,2.3
291,edd,13.9297,41.6925,17.0,47.0,87.62,11.65
292,anadyr,64.75,177.4833,20.0,71.0,-2.0,4.47
293,praia,14.9215,-23.5087,0.0,57.0,77.0,19.57
294,mae sai,20.4335,99.8762,38.0,58.0,86.0,3.44
295,kiunga,-6.1219,141.2906,100.0,99.0,74.64,1.83
296,karaton,-6.3424,106.1045,20.0,70.0,84.99,11.5
297,lago da pedra,-4.3333,-45.1667,90.0,84.0,79.07,5.39
298,panaba,21.2833,-88.2667,0.0,72.0,68.7,4.21
299,ust-bolsheretsk,,,,,,
300,miyako,39.6367,141.9525,100.0,95.0,43.57,10.98
301,lure,47.75,6.5,0.0,42.0,42.8,8.05
302,mount gambier,-37.8333,140.7667,100.0,60.0,69.8,14.97
303,makat,47.6469,53.3463,100.0,64.0,36.23,15.5
304,luanda,-8.8368,13.2343,40.0,66.0,87.8,6.91
305,cap-aux-meules,47.3821,-61.8597,100.0,68.0,24.8,10.36
306,never,46.9896,3.159,40.0,53.0,46.99,16.11
307,torbay,47.6666,-52.7314,75.0,74.0,28.0,20.71
308,tarakan,3.3,117.6333,50.0,77.0,82.71,8.01
309,susuman,62.7833,148.1667,1.0,95.0,-15.5,1.43
310,bulolo,-7.2,146.65,71.0,97.0,70.63,1.95
311,morant bay,17.8815,-76.4093,20.0,69.0,78.01,5.75
312,ariquemes,-9.9133,-63.0408,100.0,99.0,71.55,1.57
313,esperance,-33.8667,121.9,0.0,60.0,73.4,14.97
314,cabo san lucas,22.8909,-109.9124,1.0,44.0,62.01,5.75
315,pilar,-9.5972,-35.9567,75.0,78.0,80.6,5.75
316,pombia,45.653,8.6336,20.0,20.0,54.0,4.61
317,kandrian,-6.2167,149.55,100.0,91.0,77.79,5.08
318,jaque,7.5175,-78.1703,77.0,87.0,77.86,2.89
319,makurdi,7.7411,8.5121,100.0,41.0,93.76,7.02
320,honningsvag,70.9821,25.9704,100.0,76.0,33.6,22.53
321,sinop,41.7711,34.8709,100.0,91.0,40.46,5.39
322,presidencia roque saenz pena,-26.7852,-60.4388,79.0,90.0,75.42,5.86
323,cedar city,37.6775,-113.0619,1.0,36.0,46.4,16.11
324,karratha,-20.7377,116.8463,0.0,51.0,79.9,22.64
325,el carmen,8.5106,-73.4478,79.0,74.0,72.1,3.15
326,bireun,5.203,96.7009,100.0,74.0,81.95,2.06
327,lompoc,34.6391,-120.4579,1.0,76.0,46.4,8.05
328,arraial do cabo,-22.9661,-42.0278,20.0,78.0,82.4,18.41
329,rawson,-43.3002,-65.1023,24.0,40.0,66.43,24.11
330,pindiga,9.9833,10.9333,33.0,38.0,96.8,14.97
331,paducah,37.0834,-88.6001,1.0,69.0,37.0,4.61
332,bambous virieux,-20.3428,57.7575,75.0,78.0,82.4,10.36
333,chimbote,-9.0853,-78.5783,40.0,72.0,72.18,5.41
334,belaya gora,68.5333,146.4167,68.0,84.0,-12.37,0.81
335,dera bugti,29.0307,69.151,100.0,13.0,89.73,6.04
336,siocon,7.7061,122.1353,100.0,85.0,80.73,5.79
337,lengshuijiang,27.6881,111.4294,100.0,78.0,49.01,4.63
338,sorland,67.667,12.6934,40.0,87.0,42.8,35.68
339,indian trail,35.0768,-80.6692,100.0,66.0,37.99,15.01
340,minot,48.2325,-101.2963,1.0,80.0,35.6,4.61
341,manokwari,-0.8667,134.0833,100.0,78.0,79.97,4.12
342,gboko,7.3179,8.9951,100.0,48.0,90.09,10.54
343,hovd,48.0056,91.6419,0.0,31.0,23.52,0.51
344,morro bay,35.3658,-120.8499,0.0,95.0,46.0,6.78
345,olavarria,-36.8927,-60.3225,100.0,95.0,59.0,0.83
346,kathu,7.9178,98.3332,20.0,74.0,88.0,4.61
347,half moon bay,37.4636,-122.4286,75.0,93.0,48.99,5.75
348,chapais,49.7834,-74.8492,1.0,68.0,24.8,6.91
349,owando,-0.4819,15.8999,100.0,97.0,69.98,1.23
350,suileng,47.25,127.0833,100.0,85.0,30.25,12.3
351,broken hill,-31.95,141.4333,100.0,46.0,71.6,5.75
352,conner,17.7964,121.3275,32.0,95.0,74.88,1.83
353,neuquen,-38.9516,-68.0591,0.0,62.0,57.2,4.61
354,alugan,12.2188,125.4808,99.0,82.0,81.28,9.01
355,saint-claude,46.5,5.8333,0.0,52.0,43.0,8.99
356,brownsville,25.9018,-97.4975,1.0,76.0,51.8,3.44
357,portage,41.1667,-81.1998,1.0,59.0,30.0,6.91
358,nouadhibou,20.931,-17.0347,19.0,40.0,73.4,19.57
359,nara,34.6851,135.8049,100.0,71.0,61.0,6.69
360,salalah,17.0151,54.0924,0.0,62.0,86.0,13.8
361,salamiyah,35.0113,37.0532,100.0,37.0,65.03,4.97
362,jalingo,8.8833,11.3667,100.0,36.0,95.76,9.17
363,vallenar,-28.5708,-70.7581,0.0,56.0,65.82,3.38
364,ranau,5.9538,116.6641,20.0,83.0,84.0,3.44
365,aswan,24.0934,32.907,0.0,10.0,101.41,9.84
366,honggang,46.4667,124.8667,100.0,95.0,32.99,10.36
367,camacha,33.0833,-16.3333,75.0,63.0,62.6,14.97
368,calama,-22.4667,-68.9333,0.0,46.0,46.4,17.27
369,letlhakeng,-24.0944,25.0298,67.0,34.0,83.48,10.78
370,cayenne,4.9333,-52.3333,75.0,74.0,82.99,9.22
371,bolungarvik,,,,,,
372,bobo dioulasso,11.1771,-4.2979,20.0,40.0,93.2,11.5
373,luz,-19.8014,-45.6856,0.0,69.0,75.92,5.28
374,tessalit,20.1986,1.0114,0.0,6.0,97.07,20.24
375,norman wells,65.282,-126.8329,75.0,71.0,-5.8,21.85
376,ormara,25.2088,64.6357,0.0,82.0,77.54,12.75
377,batagay-alyta,67.8006,130.4114,100.0,85.0,-4.97,1.74
378,pangody,65.85,74.4859,100.0,83.0,-11.61,16.31
379,puerto cabezas,14.0351,-83.3888,75.0,94.0,73.4,10.22
380,alice,27.7523,-98.0697,1.0,81.0,48.2,5.75
381,adrar,20.5022,-10.0711,0.0,12.0,82.11,11.72
382,tambopata,-12.7333,-69.1833,92.0,92.0,73.08,1.77
383,ashqelon,31.6693,34.5715,0.0,41.0,78.8,2.3
384,qui nhon,13.7667,109.2333,99.0,91.0,78.12,2.95
385,hofn,64.2539,-15.2082,100.0,36.0,41.29,3.53
386,chulman,56.8479,124.9104,0.0,85.0,4.05,4.34
387,bereda,43.2686,-7.5406,0.0,59.0,51.01,10.0
388,san juan,-31.5375,-68.5364,0.0,53.0,66.45,4.79
389,collie,-33.3667,116.15,0.0,33.0,71.4,2.93
390,chicama,-7.8447,-79.1469,52.0,94.0,68.0,3.44
391,alyangula,-13.8483,136.4192,100.0,75.0,81.36,10.96
392,lazaro cardenas,17.9583,-102.2,0.0,57.0,71.96,3.56
393,husavik,66.0449,-17.3389,40.0,45.0,41.0,17.27
394,zhigansk,66.7697,123.3711,100.0,91.0,14.23,30.38
395,ituni,,,,,,
396,lebu,-37.6167,-73.65,100.0,70.0,58.78,11.39
397,yakeshi,49.2833,120.7333,100.0,90.0,19.08,6.29
398,mentok,,,,,,
399,parauna,-16.9478,-50.4486,63.0,76.0,75.61,6.53
400,roanoke rapids,36.4615,-77.6542,1.0,93.0,35.6,9.22
401,warqla,,,,,,
402,manacapuru,-3.2997,-60.6206,20.0,89.0,78.8,11.5
403,lolua,,,,,,
404,lufilufi,-13.8745,-171.5986,75.0,83.0,80.6,13.8
405,mys shmidta,,,,,,
406,yokadouma,3.5167,15.05,100.0,74.0,79.9,6.85
407,talnakh,69.4865,88.3972,0.0,73.0,-23.28,5.21
408,nileshwar,12.25,75.1,0.0,70.0,83.66,7.61
409,sao filipe,14.8961,-24.4956,18.0,64.0,74.37,8.66
410,qurayyat,31.3318,37.3428,0.0,14.0,80.6,11.5
411,manicore,-5.8092,-61.3003,90.0,89.0,77.07,2.1
412,marzuq,14.4,46.4667,41.0,7.0,87.22,11.16
413,bang saphan,11.2126,99.5117,0.0,80.0,79.18,3.31
414,puerto escondido,15.85,-97.0667,1.0,94.0,69.8,8.05
415,sidhi,24.4167,81.8833,12.0,21.0,85.39,2.77
416,kokoda,-8.8785,147.7407,99.0,97.0,75.25,0.43
417,orodara,10.9492,-4.9342,20.0,40.0,93.2,11.5
418,anar darreh,,,,,,
419,dingle,10.9995,122.6711,0.0,74.0,78.42,7.02
420,suntar,62.1444,117.6319,100.0,87.0,21.6,12.17
421,nong kung si,16.65,103.3,20.0,50.0,97.0,4.29
422,ponta delgada,37.7333,-25.6667,20.0,67.0,60.8,14.97
423,awbari,26.5921,12.7805,55.0,8.0,91.27,18.63
424,clonakilty,51.6231,-8.8706,75.0,71.0,55.0,8.05
425,portland,45.5234,-122.6762,75.0,76.0,44.6,16.11
426,payo,-3.7508,103.6372,100.0,97.0,74.39,0.58
427,puerto madryn,-42.7692,-65.0385,12.0,36.0,67.24,26.17
428,ahipara,-35.1667,173.1667,0.0,81.0,55.49,4.9
429,catio,11.2833,-15.25,0.0,17.0,95.94,6.85
430,rumphi,-11.0186,33.8575,69.0,73.0,78.66,4.23
431,maun,-19.9833,23.4167,40.0,40.0,93.2,5.75
432,karakose,,,,,,
433,asyut,27.181,31.1837,0.0,16.0,95.0,12.66
434,honiara,-9.4333,159.95,100.0,85.0,77.16,2.95
